<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.IBM,1,20200714,132200,119.3200000,119.3400000,119.3000000,119.3200000,600
US1.IBM,1,20200714,132500,119.3100000,119.3100000,119.3100000,119.3100000,100
US1.IBM,1,20200714,132600,119.3500000,119.3600000,119.3500000,119.3600000,200
US1.IBM,1,20200714,132700,119.3300000,119.3300000,119.3300000,119.3300000,200
US1.IBM,1,20200714,132800,119.3400000,119.3400000,119.3400000,119.3400000,200
US1.IBM,1,20200714,132900,119.3600000,119.3600000,119.3600000,119.3600000,100
US1.IBM,1,20200714,133000,119.3000000,119.3000000,119.3000000,119.3000000,500
US1.IBM,1,20200714,133100,119.2700000,119.3400000,119.2700000,119.3400000,300
US1.IBM,1,20200714,133200,119.3700000,119.3800000,119.3700000,119.3700000,400
US1.IBM,1,20200714,133400,119.3900000,119.4100000,119.3900000,119.4100000,400
US1.IBM,1,20200714,133500,119.4400000,119.4400000,119.4000000,119.4100000,700
US1.IBM,1,20200714,133600,119.4200000,119.4400000,119.4200000,119.4200000,600
US1.IBM,1,20200714,133700,119.4500000,119.4500000,119.4200000,119.4200000,300
US1.IBM,1,20200714,133800,119.4000000,119.4000000,119.4000000,119.4000000,400
US1.IBM,1,20200714,133900,119.4100000,119.5000000,119.4100000,119.5000000,700
US1.IBM,1,20200714,134000,119.4900000,119.5000000,119.4800000,119.5000000,300
US1.IBM,1,20200714,134100,119.4800000,119.4900000,119.4800000,119.4900000,200
US1.IBM,1,20200714,134200,119.5400000,119.5500000,119.5400000,119.5500000,300
US1.IBM,1,20200714,134300,119.6100000,119.6300000,119.6100000,119.6300000,200
US1.IBM,1,20200714,134400,119.6400000,119.6400000,119.6400000,119.6400000,200
US1.IBM,1,20200714,134500,119.6600000,119.7000000,119.6600000,119.6800000,300
US1.IBM,1,20200714,134600,119.6300000,119.6800000,119.6200000,119.6800000,990
US1.IBM,1,20200714,134700,119.6700000,119.6700000,119.6300000,119.6300000,200
US1.IBM,1,20200714,134800,119.6300000,119.6300000,119.6300000,119.6300000,100
US1.IBM,1,20200714,134900,119.6600000,119.6700000,119.6600000,119.6700000,200
US1.IBM,1,20200714,135000,119.6600000,119.7000000,119.6600000,119.7000000,400
US1.IBM,1,20200714,135100,119.5850000,119.6000000,119.5800000,119.5900000,400
US1.IBM,1,20200714,135200,119.6200000,119.6400000,119.6200000,119.6300000,700
US1.IBM,1,20200714,135300,119.5800000,119.5800000,119.5800000,119.5800000,100
US1.IBM,1,20200714,135400,119.5500000,119.6000000,119.5500000,119.6000000,200
US1.IBM,1,20200714,135500,119.5900000,119.5900000,119.5000000,119.5000000,300
US1.IBM,1,20200714,135600,119.5300000,119.5600000,119.4500000,119.4500000,1000
US1.IBM,1,20200714,135700,119.4600000,119.4600000,119.4000000,119.4000000,546
US1.IBM,1,20200714,135800,119.3900000,119.3900000,119.3500000,119.3500000,200
